CGPA,10th_Marks,12th_Marks,Internship,Projects,Communication_Skills,Technical_Skills,Backlogs,Placement
7.8,82,78,1,3,8,8,0,1
6.5,70,65,0,1,6,5,2,0
8.2,88,85,1,4,9,9,0,1
6.8,75,70,1,2,7,6,1,1
5.9,65,60,0,1,5,4,3,0
7.5,80,76,1,3,8,7,0,1
6.2,68,64,0,1,6,5,2,0
8.5,90,88,1,5,9,9,0,1
7.1,78,72,1,2,7,7,1,1
6.0,66,62,0,1,5,5,2,0
8.0,85,82,1,4,8,9,0,1
6.7,72,68,0,2,6,6,1,0
7.9,84,80,1,3,8,8,0,1
5.8,62,58,0,1,4,4,3,0
7.3,79,75,1,2,8,7,0,1
6.4,69,66,0,1,6,5,2,0
8.3,89,86,1,4,9,9,0,1
7.0,76,71,1,2,7,6,1,1
6.1,67,63,0,1,5,5,2,0
8.1,87,83,1,4,9,8,0,1
7.6,81,79,1,3,8,8,0,1
6.3,71,67,0,2,6,5,2,0
8.6,92,90,1,5,10,10,0,1
5.7,60,56,0,1,4,4,3,0
7.4,80,74,1,3,8,7,0,1
6.6,73,69,0,1,6,6,1,0
8.4,91,87,1,4,9,9,0,1
7.2,77,73,1,2,7,7,0,1
6.0,64,61,0,1,5,4,2,0
